transaction_id,store_id,sale_datetime,customer_id,item_id,quantity,price,total_amount,payment_mode,customer_type
T221,101,"2025-04-19 14:10:00",C002,2,2,200.00,400.00,UPI,Regular
T222,102,"2025-04-19 15:25:00",C003,3,1,100.00,100.00,Card,New
T223,103,"2025-04-19 16:35:00",C004,4,2,150.00,300.00,Cash,Regular
T224,101,"2025-04-19 17:45:00",C005,5,1,180.00,180.00,UPI,New
T225,101,"2025-04-20 08:15:00",C006,6,2,300.00,600.00,Card,Regular
T226,102,"2025-04-20 09:25:00",C007,7,1,220.00,220.00,UPI,New
T227,103,"2025-04-20 10:40:00",C008,8,2,150.00,300.00,Cash,Regular
T228,101,"2025-04-20 11:55:00",C009,9,1,200.00,200.00,UPI,New
T229,102,"2025-04-20 12:10:00",C010,10,3,320.00,960.00,Card,Regular
T230,103,"2025-04-20 13:20:00",C011,11,2,250.00,500.00,Cash,New
T231,101,"2025-04-20 14:30:00",C012,12,1,180.00,180.00,UPI,Regular
T232,102,"2025-04-20 15:45:00",C013,13,2,240.00,480.00,Card,Regular
T233,103,"2025-04-20 16:10:00",C014,14,3,260.00,780.00,Cash,New
T234,101,"2025-04-20 17:25:00",C015,15,1,280.00,280.00,UPI,Regular
T235,102,"2025-04-20 18:35:00",C016,16,2,300.00,600.00,Card,New
T236,103,"2025-04-20 19:50:00",C017,17,1,270.00,270.00,Cash,Regular
T237,101,"2025-04-20 20:05:00",C018,18,2,120.00,240.00,UPI,New
T238,102,"2025-04-20 21:20:00",C019,19,1,150.00,150.00,Card,Regular
T239,103,"2025-04-20 22:10:00",C020,20,2,130.00,260.00,Cash,New
T240,101,"2025-04-20 08:35:00",C001,1,2,250.00,500.00,UPI,Regular
T241,102,"2025-04-20 09:45:00",C002,2,1,200.00,200.00,Card,New
T242,103,"2025-04-20 10:55:00",C003,3,2,100.00,200.00,Cash,Regular
T243,101,"2025-04-20 11:05:00",C004,4,1,150.00,150.00,UPI,New
T244,102,"2025-04-20 12:15:00",C005,5,2,180.00,360.00,Card,Regular
T245,103,"2025-04-20 13:25:00",C006,6,1,300.00,300.00,Cash,New
T246,101,"2025-04-20 14:35:00",C007,7,2,220.00,440.00,UPI,Regular
T247,102,"2025-04-20 15:50:00",C008,8,1,150.00,150.00,Card,New
T248,103,"2025-04-20 16:20:00",C009,9,2,200.00,400.00,Cash,Regular
T249,101,"2025-04-20 17:30:00",C010,10,1,320.00,320.00,UPI,New
T250,101,"2025-04-19 08:05:00",C011,11,1,250.00,250.00,UPI,Regular
T251,102,"2025-04-19 09:10:00",C012,12,2,180.00,360.00,Card,New
T252,103,"2025-04-19 10:20:00",C013,13,1,240.00,240.00,Cash,Regular
T253,101,"2025-04-19 11:30:00",C014,14,2,260.00,520.00,UPI,Regular
T254,102,"2025-04-19 12:45:00",C015,15,1,280.00,280.00,Card,New
T255,103,"2025-04-19 13:15:00",C016,16,2,300.00,600.00,UPI,Regular
T256,101,"2025-04-19 14:20:00",C017,17,1,270.00,270.00,Cash,New
T257,102,"2025-04-19 15:40:00",C018,18,2,120.00,240.00,UPI,Regular
T258,103,"2025-04-19 16:55:00",C019,19,1,150.00,150.00,Card,Regular
T259,101,"2025-04-19 17:25:00",C020,20,2,130.00,260.00,UPI,New
T260,102,"2025-04-19 18:30:00",C001,1,1,250.00,250.00,Cash,Regular
T261,103,"2025-04-19 19:50:00",C002,2,2,200.00,400.00,UPI,New
T262,101,"2025-04-19 20:15:00",C003,3,1,100.00,100.00,Card,Regular
T263,102,"2025-04-19 21:35:00",C004,4,2,150.00,300.00,Cash,New
T264,103,"2025-04-19 22:05:00",C005,5,1,180.00,180.00,UPI,Regular
T265,101,"2025-04-19 08:50:00",C006,6,2,300.00,600.00,Card,New
T266,102,"2025-04-19 09:55:00",C007,7,1,220.00,220.00,UPI,Regular
T267,103,"2025-04-19 10:10:00",C008,8,2,150.00,300.00,Cash,New
T268,101,"2025-04-19 11:45:00",C009,9,1,200.00,200.00,UPI,Regular
T269,102,"2025-04-19 12:25:00",C010,10,2,320.00,640.00,Card,Regular
T270,103,"2025-04-19 13:35:00",C011,11,1,250.00,250.00,Cash,New
T271,101,"2025-04-19 14:05:00",C012,12,2,180.00,360.00,UPI,Regular
T272,102,"2025-04-19 15:20:00",C013,13,1,240.00,240.00,Card,New
T273,103,"2025-04-19 16:30:00",C014,14,2,260.00,520.00,Cash,Regular
T274,101,"2025-04-19 17:40:00",C015,15,1,280.00,280.00,UPI,New
T275,101,"2025-04-20 08:20:00",C016,16,2,300.00,600.00,Card,Regular
T276,102,"2025-04-20 09:30:00",C017,17,1,270.00,270.00,UPI,New
T277,103,"2025-04-20 10:45:00",C018,18,2,120.00,240.00,Cash,Regular
T278,101,"2025-04-20 11:50:00",C019,19,1,150.00,150.00,UPI,New
T279,102,"2025-04-20 12:05:00",C020,20,2,130.00,260.00,Card,Regular
T280,103,"2025-04-20 13:15:00",C001,1,1,250.00,250.00,Cash,New
T281,101,"2025-04-20 14:25:00",C002,2,2,200.00,400.00,UPI,Regular
T282,102,"2025-04-20 15:35:00",C003,3,1,100.00,100.00,Card,New
T283,103,"2025-04-20 16:05:00",C004,4,2,150.00,300.00,Cash,Regular
T284,101,"2025-04-20 17:15:00",C005,5,1,180.00,180.00,UPI,New
T285,102,"2025-04-20 18:25:00",C006,6,2,300.00,600.00,Card,Regular
T286,103,"2025-04-20 19:40:00",C007,7,1,220.00,220.00,Cash,New
T287,101,"2025-04-20 20:00:00",C008,8,2,150.00,300.00,UPI,Regular
T288,102,"2025-04-20 21:10:00",C009,9,1,200.00,200.00,Card,New
T289,103,"2025-04-20 22:20:00",C010,10,2,320.00,640.00,Cash,Regular
T290,101,"2025-04-20 08:40:00",C011,11,1,250.00,250.00,UPI,New
T291,102,"2025-04-20 09:50:00",C012,12,2,180.00,360.00,Card,Regular
T292,103,"2025-04-20 10:05:00",C013,13,1,240.00,240.00,Cash,New
T293,101,"2025-04-20 11:25:00",C014,14,2,260.00,520.00,UPI,Regular
T294,102,"2025-04-20 12:35:00",C015,15,1,280.00,280.00,Card,New
T295,103,"2025-04-20 13:45:00",C016,16,2,300.00,600.00,Cash,Regular
T296,101,"2025-04-20 14:55:00",C017,17,1,270.00,270.00,UPI,New
T297,102,"2025-04-20 15:15:00",C018,18,2,120.00,240.00,Card,Regular
T298,103,"2025-04-20 16:25:00",C019,19,1,150.00,150.00,Cash,New
T299,101,"2025-04-20 17:35:00",C020,20,2,130.00,260.00,UPI,Regular
